Krankenhaus,Adresse,n_Betten,url,address,lat,lng
Diakonissenkrankenhaus Flensburg,"Knuthstr. 1, 24939 Flensburg",400.0,http://www.diako.de,"Knuthstr. 1, 24939 Flensburg",54.79041,9.42605
Ev.-luth. Diakonissenanstalt Psychiatrische Tagesklinik für Ältere,"Marienhölzungsweg 8, 24939 Flensburg",19.0,https://www.diako.de/,"Marienhölzungsweg 8, 24939 Flensburg",54.7899352,9.4210084
Ev.-luth. Diakonissenanstalt Tagesklinik für Psychosomatik,"Nehrongsallee 5, 24939 Flensburg",15.0,https://www.diako.de/,"Nehrongsallee 5, 24939 Flensburg",54.7891372,9.4204108
Ev.-luth. Diakonissenanstalt Kinder- und Jugendpsychiatrie,"Marienhölzungsweg 68, 24939 Flensburg",25.0,https://www.diako.de,"Marienhölzungsweg 68, 24939 Flensburg",54.791288,9.4105776
Malteser Krankenhaus St. Franziskus-Hospital,"Waldstraße 17, 24939 Flensburg",363.0,http://www.malteser-franziskus.de/,"Waldstraße 17, 24939 Flensburg",54.7925,9.41987
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,"Am Damm 1, 24837 Schleswig",12.0,http://www.malteser-franziskus.de/,"Am Damm 1, 24837 Schleswig",54.52332,9.56493
Städtisches Krankenhaus Kiel GmbH,"Chemnitzstr. 33, 24116 Kiel",718.0,http://www.krankenhaus-kiel.de,"Chemnitzstr. 33, 24116 Kiel",54.3230743,10.1160949
Park-Klinik GmbH,"Goethestrasse 11, 24116 Kiel",24.0,http://www.park-klinik.de,"Goethestrasse 11, 24116 Kiel",54.3267003,10.1257518
Lubinus Clinicum,"Steenbeker Weg 25, 24106 Kiel",148.0,https://www.lubinus-stiftung.de/start-lubinus-clinicum.html,"Steenbeker Weg 25, 24106 Kiel",54.3537616,10.1169392
Sankt Elisabeth Krankenhaus Kiel,"Königsweg 8, 24103 Kiel",48.0,https://www.lubinus-stiftung.de/start-sek.html,"Königsweg 8, 24103 Kiel",54.31687,10.12719
Klinik Flechsig GmbH,"Chemnitzstraße 33, 24116 Kiel",30.0,http://www.klinik-flechsig.de/,"Chemnitzstraße 33, 24116 Kiel",54.3230743,10.1160949
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,"Parade  3, 23552 Lübeck",52.0,https://www.marien-krankenhaus.de/,"Parade  3, 23552 Lübeck",53.8623919,10.6851174
DRK-Fachklinik Hahnknüll gGmbH,"Hahnknüll 58, 24537 Neumünster",30.0,https://www.drk-nms.de,"Hahnknüll 58, 24537 Neumünster",54.098904,9.9470677
Klinik Dr. Lehmann,"Marienstraße 49-51, 24534 Neumünster",4.0,,"Marienstraße 49-51, 24534 Neumünster",54.0769971,9.9919019
Johanniter-Krankenhaus Geesthacht GmbH,"Am Runden Berge 3, 21502 Geesthacht",188.0,http://www.johanniter-krankenhaus.de,"Am Runden Berge 3, 21502 Geesthacht",53.4316681,10.3854755
Johanniter Tagesklinik Schwarzenbek,"Körnerplatz 6, 21493 Schwarzenbek",16.0,http://www.johanniter-krankenhaus.de,"Körnerplatz 6, 21493 Schwarzenbek",53.50583,10.47872
Johanniter Tagesklnik Mölln,"Wasserkrüger Weg  7, 23879 Mölln",15.0,http://www.johanniter-krankenhaus.de,"Wasserkrüger Weg  7, 23879 Mölln",53.6264232,10.6864624
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,"Röpersberg 2, 23909 Ratzeburg",158.0,http://www.drk-krankenhaus.de,"Röpersberg 2, 23909 Ratzeburg",53.6902743,10.7786876
"Klinikum Nordfriesland gGmbH, Klinik Husum","Erichsenweg 16, 25813 Husum",263.0,http://www.klinikum-nf.de,"Erichsenweg 16, 25813 Husum",54.4830756,9.051448
"Klinikum Nordfriesland gGmbH, Klinik Niebüll","Gather Landstraße 75, 25899 Niebüll",104.0,http://www.klinikum-nf.de,"Gather Landstraße 75, 25899 Niebüll",54.79284,8.84488
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","Rebbelstieg  24, 25938 Wyk",19.0,http://www.klinikum-nf.de,"Rebbelstieg  24, 25938 Wyk",54.68518,8.56424
DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote),"Gammeltoft 8-15, 25821 Breklum",99.0,http://www.diako-nf.de,"Gammeltoft 8-15, 25821 Breklum",54.6176104,8.984646
DIAKO Nordfriesland gGmbH (Tagesklinik Breklum),"Kirchenstraße 7, 25821 Breklum",1.0,http://www.diako-nf.de,"Kirchenstraße 7, 25821 Breklum",54.60688,8.98249
DIAKO Nordfriesland gGmbH (Tagesklinik Husum),"Theodor-Schäfer-Str. 1b, 25813 Husum",1.0,http://www.diako-nf.de,"Theodor-Schäfer-Str. 1b, 25813 Husum",54.48632,9.0506
DIAKO Nordfriesland gGmbH (Tagesklinik Niebüll),"Bahnhofstraße 24a, 25899 Niebüll",1.0,http://www.diako-nf.de,"Bahnhofstraße 24a, 25899 Niebüll",54.7873381,8.8332768
Asklepios Nordseeklinik Westerland/Sylt,"Norderstr. 81, 25980 Sylt/OT Westerland",95.0,http://www.asklepios.com/sylt/akut,"Norderstr. 81, 25980 Sylt/OT Westerland",54.9257293,8.3143
Klinik Dr. Winkler,"Brinckmannstraße 6, 25813 Husum",21.0,http://www.klinik-winkler.de,"Brinckmannstraße 6, 25813 Husum",54.4800828,9.0559668
Sana Kliniken Ostholstein GmbH - Klinik Eutin,"Hospitalstraße 22, 23701 Eutin",197.0,https://www.sana-oh.de,"Hospitalstraße 22, 23701 Eutin",54.132792,10.6007115
