Krankenhaus,Adresse,n_Betten,url
Diakonissenkrankenhaus Flensburg,"Knuthstr. 1, 24939 Flensburg",400,http://www.diako.de
Ev.-luth. Diakonissenanstalt Psychiatrische Tagesklinik für Ältere,"Marienhölzungsweg 8, 24939 Flensburg",19,https://www.diako.de/
Ev.-luth. Diakonissenanstalt Tagesklinik für Psychosomatik,"Nehrongsallee 5, 24939 Flensburg",15,https://www.diako.de/
Ev.-luth. Diakonissenanstalt Kinder- und Jugendpsychiatrie,"Marienhölzungsweg 68, 24939 Flensburg",25,https://www.diako.de
Malteser Krankenhaus St. Franziskus-Hospital,"Waldstraße 17, 24939 Flensburg",363,http://www.malteser-franziskus.de/
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,"Am Damm 1, 24837 Schleswig",12,http://www.malteser-franziskus.de/
Städtisches Krankenhaus Kiel GmbH,"Chemnitzstr. 33, 24116 Kiel",718,http://www.krankenhaus-kiel.de
Park-Klinik GmbH,"Goethestrasse 11, 24116 Kiel",24,http://www.park-klinik.de
Lubinus Clinicum,"Steenbeker Weg 25, 24106 Kiel",148,https://www.lubinus-stiftung.de/start-lubinus-clinicum.html
Sankt Elisabeth Krankenhaus Kiel,"Königsweg 8, 24103 Kiel",48,https://www.lubinus-stiftung.de/start-sek.html
Klinik Flechsig GmbH,"Chemnitzstraße 33, 24116 Kiel",30,http://www.klinik-flechsig.de/
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,"Parade  3, 23552 Lübeck",52,https://www.marien-krankenhaus.de/
DRK-Fachklinik Hahnknüll gGmbH,"Hahnknüll 58, 24537 Neumünster",30,https://www.drk-nms.de
Klinik Dr. Lehmann,"Marienstraße 49-51, 24534 Neumünster",4,N/A
Johanniter-Krankenhaus Geesthacht GmbH,"Am Runden Berge 3, 21502 Geesthacht",188,http://www.johanniter-krankenhaus.de
Johanniter Tagesklinik Schwarzenbek,"Körnerplatz 6, 21493 Schwarzenbek",16,http://www.johanniter-krankenhaus.de
Johanniter Tagesklnik Mölln,"Wasserkrüger Weg  7, 23879 Mölln",15,http://www.johanniter-krankenhaus.de
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,"Röpersberg 2, 23909 Ratzeburg",158,http://www.drk-krankenhaus.de
"Klinikum Nordfriesland gGmbH, Klinik Husum","Erichsenweg 16, 25813 Husum",263,http://www.klinikum-nf.de
"Klinikum Nordfriesland gGmbH, Klinik Niebüll","Gather Landstraße 75, 25899 Niebüll",104,http://www.klinikum-nf.de
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum","Rebbelstieg  24, 25938 Wyk",19,http://www.klinikum-nf.de
DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik - stat. Angebote),"Gammeltoft 8-15, 25821 Breklum",99,http://www.diako-nf.de
DIAKO Nordfriesland gGmbH (Tagesklinik Breklum),"Kirchenstraße 7, 25821 Breklum",1,http://www.diako-nf.de
DIAKO Nordfriesland gGmbH (Tagesklinik Husum),"Theodor-Schäfer-Str. 1b, 25813 Husum",1,http://www.diako-nf.de
DIAKO Nordfriesland gGmbH (Tagesklinik Niebüll),"Bahnhofstraße 24a, 25899 Niebüll",1,http://www.diako-nf.de
Asklepios Nordseeklinik Westerland/Sylt,"Norderstr. 81, 25980 Sylt/OT Westerland",95,http://www.asklepios.com/sylt/akut
Klinik Dr. Winkler,"Brinckmannstraße 6, 25813 Husum",21,http://www.klinik-winkler.de
Sana Kliniken Ostholstein GmbH - Klinik Eutin,"Hospitalstraße 22, 23701 Eutin",197,https://www.sana-oh.de
Sana Kliniken Ostholstein GmbH - Klinik Oldenburg,"Mühlenkamp 5, 23758 Oldenburg i.H.",151,https://www.sana-oh.de
Sana Kliniken Ostholstein GmbH - Inselklinik Fehmarn,"Mummendorfer Weg 12, 23769 Burg auf Fehmarn",28,https://www.sana-oh.de
"Sana Kliniken Ostholstein GmbH, Klinik Middelburg","Middelburger Str. 1, 23701 Süsel",100,http://www.sana-oh.de
AMEOS Klinikum Neustadt,"Wiesenhof 1, 23730 Neustadt i. H.",276,http://www.ameos.eu
AMEOS Klinikum Lübeck,"Kahlhorststraße 33, 23562 Lübeck",276,http://www.ameos.eu
AMEOS Klinikum Eutin,"Janusstraße 5, 23701 Eutin",276,http://www.ameos.eu
AMEOS Klinikum Heiligenhafen,"Friedrich-Ebert-Straße 100, 23774 Heiligenhafen",332,http://www.ameos.eu
AMEOS Klinikum Kiel,"Tiroler Ring 621-62, 24147 Kiel",332,http://www.ameos.eu
AMEOS Klinikum Preetz,"Am Krankenhaus 5a, 24211 Preetz",332,http://www.ameos.eu
AMEOS Klinikum Oldenburg,"Hoheluftstraße 10, 23758 Oldenburg i. H.",332,http://www.ameos.eu
AMEOS Klinikum Oldenburg,"Mühlenkamp 5, 23758 Oldenburg i. H.",332,http://www.ameos.eu
Sankt Elisabeth Krankenhaus Eutin,"Plöner Str. 42, 23701 Eutin",110,http://www.sek-eutin.de
Helios Agnes Karll Krankenhaus Bad Schwartau,"Am Hochkamp  21, 23611 Bad Schwartau",77,https://www.helios-gesundheit.de/kliniken/bad-schwartau/
AUGUST-BIER-KLINIK - Neurologie und Rehabilitation,"Diekseepromendade 7-11, 23714 Bad Malente-Gremsmühlen",50,http://www.august-bier-klinik.de
Regio Kliniken GmbH - Klinikum Pinneberg,"Fahltskamp 74, 25421 Pinneberg",322,https://www.regiokliniken.de/
Regio Kliniken GmbH - Klinikum Elmshorn,"Agnes-Karll-Allee 17, 25337 Elmshorn",476,https://www.regiokliniken.de/
Regio Kliniken GmbH - Tagesklinik Norderstedt,"Beim Umspannwerk 6, 22844 Norderstedt",17,https://www.regiokliniken.de/
Klinik Preetz,"Am Krankenhaus 5, 24306 Plön",171,http://www.klinik-preetz.de
Fachklinik Freudenholm-Ruhleben / Klinische Abteilung,"Missionsweg 3, 24306 Bösdorf",45,http://www.fachklinik-freudenholm-ruhleben.de
imland GmbH - imland Klinik Eckernförde,"Schleswiger Str. 114-116, 24340 Eckernförde",226,http://www.imland.de
imland GmbH - imland Klinik Rendsburg,"Lilienstr. 20-28, 24768 Rendsburg",582,http://www.imland.de
HELIOS Klinik Schleswig GmbH,"St. Jürgener Straße 1-3, 24837 Schleswig",327,https://www.helios-gesundheit.de/kliniken/schleswig/
"HELIOS Fachklinik, Klinik für Erwachsenenpsychiatrie und Psychosomatische Medizin","St. Jürgener Str. 5a, 24837 Schleswig",327,https://www.helios-gesundheit.de/kliniken/schleswig/
HELIOS Tagesklinik Psychiatrie (Erwachsene),"Mühlental 1, 24837 Schleswig",20,https://www.helios-gesundheit.de/kliniken/schleswig/
HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie sowie Tagesklinik Baumhaus Schleswig,"Friedrich-Ebert-Straße 5, 24837 Schleswig",307,http://www.helios-gesundheit.de/klinik/schleswig.html
"HELIOS Klinik für Kinder- und Jugendpsychiatrie und -Psychotherapie, Tagesklinik Baumhaus Husum","Theodor-Schäfer-Straße 1a, 25813 Husum",25,https://www.helios-gesundheit.de/kliniken/schleswig/
Fachkrankenhaus für Psychiatrie und Psychotherapie und Tagesklinik für Psychiatrie und Psychotherapie,"Johannesallee 9, 24848 Kropp",37,http://www.diakonie-kropp.de/
Margarethen Klinik gemeinnützige GmbH,"Konsul-Lorentzen-Straße 3, 24376 Kappeln",16,http://www.margarethen-klinik.de
Medizinische Klinik Borstel,"Parkallee 35, 23845 Borstel",83,https://klinik.fz-borstel.de/index.php/de/
Psychiatrisches Krankenhaus Rickling,"Daldorfer Straße 2, 24635 Rickling",350,http://www.pkh-rickling.de
Klinikum Bad Bramstedt GmbH,"Oskar-Alexander-Straße 26, 24576 Bad Bramstedt",213,http://www.klinikumbadbramstedt.de
SEGEBERGER KLINIKEN GMBH Am Kurpark,"Am Kurpark 1, 23795 Bad Segeberg",230,http://www.segebergerkliniken.de
PRAXISKLINIK NORDERSTEDT,"Heidbergstraße 98, 22846 Norderstedt",19,http://www.segebergerkliniken.de
AK SEGEBERGER KLINIKEN GMBH,"Krankenhausstraße 2, 23795 Bad Segeberg",192,http://www.segebergerkliniken.de
Psychosomatische Tagesklinik,"Kurhausstraße 77, 23795 Bad Segeberg",1,http://www.segebergerkliniken.de
Neurologisches Zentrum,"Hamdorfer Weg 3, 23795 Bad Segeberg",101,http://www.segebergerkliniken.de
Klinikum Itzehoe,"Robert-Koch-Str. 2, 25524 Itzehoe",600,http://www.klinikum-itzehoe.de
Krankenhaus Reinbek St. Adolf-Stift GmbH,"Hamburger Straße 41, 21465 Reinbek",351,http://www.krankenhaus-reinbek.de
DRK-Norddeutsches Epilepsiezentrum für Kinder und Jugendliche,"Henry-Dunant-Str. 6 - 10, 24223 Schwentinental",12,http://www.drk-epilepsiezentrum.de
VAMED Ostseeklinik Damp,"Seute-Deern-Ring 20, 24351 Damp",164,https://www.vamed-gesundheit.de/damp-ostseeklinik/
Kinderzentrum Pelzerhaken,"Zum Leuchtturm 4, 23730 Neustadt in Holstein",36,http://www.kinderzentrum-pelzerhaken.de
Paracelsus-Nordseeklinik Helgoland,"Invasorenpfad 1040, 27498 Helgoland",34,https://www.paracelsus-kliniken.de/helgoland.html
FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH,"Friesenstraße 11, 24534 Neumünster",640,http://www.friedrich-ebert-krankenhaus.de/
CURSCHMANN KLINIK der Klinikgruppe Dr. Guth GmbH &amp; Co. KG,"Saunaring 6, 23669 Timmendorfer Strand",30,https://www.drguth.de/curschmann-klinik
Vorwerker Fachklinik Kinder- und Jugendpsychiatrie (stat. Bereich Lübeck),"Triftstraße 139-143, 23554 Lübeck",47,https://www.vorwerker-diakonie.de
Vorwerker Fachklinik (Tagesklinik Lübeck),"Triftstraße 139-143, 23554 Lübeck",9,https://www.vorwerker-diakonie.de
Vorwerker Fachklinik (Tagesklinik Büchen),"Lauenburger Straße 39, 21514 Büchen",10,https://www.vorwerker-diakonie.de
Vorwerker Fachklinik (Tagesklinik Eutin),"Hospitalstraße 22, 23701 Eutin",10,https://www.vorwerker-diakonie.de
Schön Klinik Neustadt,"Am Kiebitzberg 10, 23730 Neustadt in Holstein",357,http://www.schoen-klinik.de
Westküstenklinikum Heide,"Esmarchstraße 50, 25746 Heide",630,http://www.westkuestenklinikum.de
